ESR_NAME,ESR_BUS,ESR_STATUS,ESR_CRG_MAX,ESR_DIS_MAX,ESR_CRG_EFF,ESR_DIS_EFF,ESR_SOC_MIN,ESR_SOC_MAX,ESR_SOC_INI,ESR_SOC_TGT,ESR_CRG_COST,ESR_DIS_COST
Gilboa 1 (IIFO - 1/1/2019)|726,42,1,280,291.8,0.67,0.67,0,3000,1500,1500,0.005,0.005
Gilboa 2|727,42,1,280,292.7,0.67,0.67,0,3000,1500,1500,0.005,0.005
Gilboa 3|728,42,1,280,291.9,0.67,0.67,0,3000,1500,1500,0.005,0.005
Gilboa 4|729,42,1,280,292.5,0.67,0.67,0,3000,1500,1500,0.005,0.005
Lewiston PS (Fleet)|472,56,1,230,240,0.59,0.59,0,2880,1440,1440,0.005,0.005
North County Energy Storage OTH WB1|53240,47,1,20,20,0.85,0.85,0,200,100,100,0.005,0.005
zzAgg_J_ES__1,82,1,2,2,0.85,0.85,0,8,4,4,0.005,0.005
zzAgg_K_FC__1,80,1,18.5,18.5,0.85,0.85,0,74,37,37,0.005,0.005
A_ESR_Standalone,56,1,150,150,0.85,0.85,0,600,300,300,0.005,0.005
B_ESR_Standalone,53,1,90,90,0.85,0.85,0,360,180,180,0.005,0.005
C_ESR_Standalone,51,1,120,120,0.85,0.85,0,480,240,240,0.005,0.005
D_ESR_Standalone,48,1,180,180,0.85,0.85,0,720,360,360,0.005,0.005
E_ESR_Standalone,47,1,120,120,0.85,0.85,0,480,240,240,0.005,0.005
G_ESR_Standalone,39,1,190,190,0.85,0.85,0,760,380,380,0.005,0.005
H_ESR_Standalone,74,1,190,190,0.85,0.85,0,760,380,380,0.005,0.005
J_ESR_Standalone,82,1,250,250,0.85,0.85,0,1000,500,500,0.005,0.005
K_ESR_Standalone,80,1,250,250,0.85,0.85,0,1000,500,500,0.005,0.005
ESR_HYB_A1_DA,56,1,50,50,0.85,0.85,0,200,100,100,0.005,0.005
ESR_HYB_C1_DA,51,1,60,60,0.85,0.85,0,240,120,120,0.005,0.005
ESR_HYB_C2_DA,51,1,60,60,0.85,0.85,0,240,120,120,0.005,0.005
ESR_HYB_E1_DA,47,1,115,115,0.85,0.85,0,460,230,230,0.005,0.005
ESR_HYB_D1_DA,48,1,100,100,0.85,0.85,0,400,200,200,0.005,0.005
ESR_HYB_C3_DA,51,1,60,60,0.85,0.85,0,240,120,120,0.005,0.005
ESR_HYB_K1_DA,80,1,15,15,0.85,0.85,0,60,30,30,0.005,0.005
ESR_HYB_K2_DA,80,1,12.5,12.5,0.85,0.85,0,50,25,25,0.005,0.005
ESR_HYB_F_H1_DA,42,1,240,240,0.85,0.85,0,960,480,480,0.005,0.005
ESR_HYB_I_H1_DA,78,1,90,90,0.85,0.85,0,360,180,180,0.005,0.005
ESR_HYB_J_H1_DA,82,1,250,250,0.85,0.85,0,1000,500,500,0.005,0.005
ESR_HYB_J_H2_DA,82,1,225,225,0.85,0.85,0,900,450,450,0.005,0.005
ESR_HYB_K_H1_DA,80,1,230,230,0.85,0.85,0,920,460,460,0.005,0.005
